Energy [eV],W Capture [b]
108.3407,0.872921
108.7029,0.959928
109.065,1.068817
109.4272,1.205782
109.7893,1.379622
110.1515,1.603501
110.3326,1.739736
110.5136,1.895279
110.6947,2.074585
110.8758,2.284839
111.0569,2.532944
111.2379,2.827189
111.409,3.158601
111.58,3.555394
111.751,4.036175
111.922,4.625907
112.0075,4.971777
112.093,5.358722
112.1785,5.793782
112.264,6.285914
112.3495,6.846224
112.435,7.488231
112.5205,8.228537
112.606,9.08805
112.7016,10.22371
112.7972,11.59252
112.8928,13.26343
112.9883,15.33063
113.0361,16.55597
113.0839,17.93789
113.1317,19.50497
113.1795,21.2929
113.2273,23.34673
113.2751,25.72392
113.3229,28.49857
113.3706,31.76007
113.426,36.33655
113.4813,42.01444
113.509,45.39184
113.5366,49.19172
113.5643,53.51748
113.5919,58.42798
113.6196,64.06634
113.6472,70.51789
113.6749,77.97693
113.7025,86.55807
113.7302,96.51397
113.7578,107.9808
113.7855,121.2637
113.8131,136.492
113.8433,155.6885
113.8735,177.7687
113.9037,202.9041
113.9339,231.153
113.9641,262.4184
